Date,Year,Month,Week,Type,StartTime,EndTime,Duration
01-Jan,2016,1,1,SD,17:00,19:00,2
01-Jan,2016,1,1,SD,20:00,21:00,1
01-Jan,2016,1,1,ED,21:00,23:00,2
02-Jan,2016,1,1,PM,14:30,15:00,0.5
02-Jan,2016,1,1,ED,15:00,16:30,1.5
02-Jan,2016,1,1,ED,20:45,23:15,2.5
03-Jan,2016,1,2,ED,10:30,16:00,5.5
04-Jan,2016,1,2,BD,17:30,18:00,0.5
04-Jan,2016,1,2,ED,18:00,18:30,0.5
04-Jan,2016,1,2,ED,19:30,19:45,0.25
04-Jan,2016,1,2,BD,19:44,23:59,4.25
05-Jan,2016,1,2,SD,9:00,9:30,0.5
05-Jan,2016,1,2,PM,9:30,10:00,0.5
05-Jan,2016,1,2,BD,10:30,12:30,2
05-Jan,2016,1,2,BD,14:00,17:00,3
05-Jan,2016,1,2,ED,17:45,18:30,0.75
05-Jan,2016,1,2,ED,19:45,20:45,1
05-Jan,2016,1,2,ED,21:00,22:15,1.25
05-Jan,2016,1,2,SD,22:15,23:00,0.75
06-Jan,2016,1,2,PM,8:15,8:30,0.25
06-Jan,2016,1,2,BD,8:30,9:00,0.5
06-Jan,2016,1,2,ED,9:00,11:15,2.25
06-Jan,2016,1,2,BD,12:00,14:30,2.5
06-Jan,2016,1,2,PM,15:00,17:00,2
06-Jan,2016,1,2,SD,18:00,20:30,2.5
06-Jan,2016,1,2,PM,21:00,23:00,2
07-Jan,2016,1,2,SD,14:00,17:00,3
07-Jan,2016,1,2,BD,17:00,19:15,2.25
07-Jan,2016,1,2,PM,20:00,23:30,3.5
08-Jan,2016,1,2,PM,15:30,16:45,1.25
08-Jan,2016,1,2,PM,16:45,17:15,0.5
08-Jan,2016,1,2,PM,18:00,21:00,3
08-Jan,2016,1,2,BD,21:00,23:00,2
11-Jan,2016,1,3,SD,14:00,18:00,4
11-Jan,2016,1,3,SD,20:00,21:30,1.5
12-Jan,2016,1,3,PM,13:00,13:30,0.5
12-Jan,2016,1,3,SD,13:30,15:30,2
12-Jan,2016,1,3,SD,17:00,18:00,1
12-Jan,2016,1,3,SD,18:30,21:15,2.75
13-Jan,2016,1,3,SD,14:15,17:00,2.75
13-Jan,2016,1,3,PM,17:00,17:45,0.75
13-Jan,2016,1,3,SD,17:45,19:00,1.25
17-Jan,2016,1,4,RS,11:00,12:00,1
18-Jan,2016,1,4,PM,12:15,13:30,1.25
18-Jan,2016,1,4,SD,13:30,16:00,2.5
20-Jan,2016,1,4,BD,11:00,13:30,2.5
20-Jan,2016,1,4,PM,13:30,14:45,1.25
20-Jan,2016,1,4,BD,16:30,18:30,2
20-Jan,2016,1,4,BD,20:00,23:30,3.5
24-Jan,2016,1,5,PM,14:45,15:15,0.5
25-Jan,2016,1,5,PM,19:00,20:00,1
26-Jan,2016,1,5,PM,8:30,11:00,2.5
26-Jan,2016,1,5,BD,11:00,19:00,8
26-Jan,2016,1,5,BD,19:45,20:30,0.75
27-Jan,2016,1,5,PM,9:00,10:00,1
27-Jan,2016,1,5,BD,10:45,13:15,2.5
27-Jan,2016,1,5,BD,17:00,19:00,2
28-Jan,2016,1,5,BD,9:00,10:00,1
28-Jan,2016,1,5,BD,11:00,14:30,3.5
28-Jan,2016,1,5,BD,15:00,17:30,2.5
29-Jan,2016,1,5,PM,12:00,13:30,1.5
29-Jan,2016,1,5,PM,13:30,15:15,1.75
29-Jan,2016,1,5,SD,16:00,19:15,3.25
29-Jan,2016,1,5,SD,22:00,23:45,1.75
30-Jan,2016,1,5,SD,9:30,11:00,1.5
30-Jan,2016,1,5,SD,11:30,18:00,6.5
31-Jan,2016,1,6,SD,10:30,11:30,1
31-Jan,2016,1,6,SD,13:30,15:30,2
31-Jan,2016,1,6,SD,22:15,23:45,1.5
01-Feb,2016,2,6,SD,18:30,23:30,5
02-Feb,2016,2,6,PM,12:30,14:30,2
02-Feb,2016,2,6,BD,14:30,18:00,3.5
02-Feb,2016,2,6,PM,21:30,22:00,0.5
03-Feb,2016,2,6,PM,8:45,9:00,0.25
03-Feb,2016,2,6,PM,9:00,10:15,1.25
03-Feb,2016,2,6,SD,10:30,13:00,2.5
03-Feb,2016,2,6,PM,13:00,15:00,2
03-Feb,2016,2,6,SD,16:00,18:30,2.5
03-Feb,2016,2,6,PM,20:00,22:30,2.5
04-Feb,2016,2,6,SD,9:15,12:30,3.25
04-Feb,2016,2,6,SD,13:15,18:00,4.75
05-Feb,2016,2,6,PM,8:45,9:30,0.75
05-Feb,2016,2,6,PM,12:45,14:00,1.25
06-Feb,2016,2,6,RS,11:00,15:00,4
08-Feb,2016,2,7,PM,8:45,12:00,3.25
08-Feb,2016,2,7,PM,12:45,17:30,4.75
08-Feb,2016,2,7,PM,17:30,18:30,1
09-Feb,2016,2,7,RS,8:00,10:15,2.25
09-Feb,2016,2,7,BD,12:15,15:15,3
09-Feb,2016,2,7,PM,15:15,17:30,2.25
09-Feb,2016,2,7,PM,20:45,21:30,0.75
10-Feb,2016,2,7,PM,8:45,9:00,0.25
10-Feb,2016,2,7,PM,9:00,10:30,1.5
10-Feb,2016,2,7,BD,10:30,12:00,1.5
10-Feb,2016,2,7,PM,12:30,14:15,1.75
10-Feb,2016,2,7,PM,14:15,16:30,2.25
10-Feb,2016,2,7,SD,16:45,18:30,1.75
11-Feb,2016,2,7,BD,15:00,18:00,3
11-Feb,2016,2,7,BD,20:00,22:15,2.25
12-Feb,2016,2,7,PM,9:45,10:00,0.25
12-Feb,2016,2,7,BD,10:15,12:00,1.75
12-Feb,2016,2,7,BD,14:00,15:30,1.5
12-Feb,2016,2,7,PM,15:30,16:30,1
13-Feb,2016,2,7,PM,15:30,18:45,3.25
15-Feb,2016,2,8,PM,10:45,13:45,3
15-Feb,2016,2,8,PM,14:30,18:45,4.25
15-Feb,2016,2,8,PM,20:15,21:00,0.75
16-Feb,2016,2,8,BD,10:15,12:45,2.5
16-Feb,2016,2,8,BD,15:00,15:30,0.5
16-Feb,2016,2,8,PM,15:30,15:45,0.25
16-Feb,2016,2,8,SD,15:45,18:30,2.75
